id,category,latitude,longitude,safety_score,geom
6,store_24h,13.118833,80.289162,30,POINT(80.289162 13.118833)
7,hospital_clinic,13.013421,80.29353,50,POINT(80.29353 13.013421)
8,transit_stop,12.923744,80.27766,10,POINT(80.27766 12.923744)
9,transit_stop,13.065916,80.210909,10,POINT(80.210909 13.065916)
10,assault_robbery,12.978099,80.289185,-100,POINT(80.289185 12.978099)
11,transit_stop,13.054799,80.192976,10,POINT(80.192976 13.054799)
12,transit_stop,13.067813,80.176596,10,POINT(80.176596 13.067813)
13,police_station,12.966927,80.269177,100,POINT(80.269177 12.966927)
14,street_light,13.140695,80.174801,20,POINT(80.174801 13.140695)
15,street_light,12.953205,80.181415,20,POINT(80.181415 12.953205)
16,store_24h,13.046203,80.210796,30,POINT(80.210796 13.046203)
17,transit_stop,12.963088,80.248384,10,POINT(80.248384 12.963088)
18,dark_alley,13.02352,80.202854,-20,POINT(80.202854 13.02352)
19,hospital_clinic,13.007522,80.292023,50,POINT(80.292023 13.007522)
20,theft_burglary,13.094837,80.191224,-40,POINT(80.191224 13.094837)
21,street_light,13.012769,80.300969,20,POINT(80.300969 13.012769)
22,transit_stop,12.966734,80.249452,10,POINT(80.249452 12.966734)
23,transit_stop,13.146104,80.233787,10,POINT(80.233787 13.146104)
24,police_station,13.116501,80.232147,100,POINT(80.232147 13.116501)
25,transit_stop,13.078579,80.27792,10,POINT(80.27792 13.078579)
26,store_24h,13.125725,80.226399,30,POINT(80.226399 13.125725)
27,street_light,12.915246,80.173923,20,POINT(80.173923 12.915246)
28,street_light,12.956992,80.246299,20,POINT(80.246299 12.956992)
29,transit_stop,13.033717,80.246437,10,POINT(80.246437 13.033717)
30,street_light,13.047937,80.201785,20,POINT(80.201785 13.047937)
31,hotspot,12.938031,80.276507,-60,POINT(80.276507 12.938031)
32,hospital_clinic,13.09722,80.191047,50,POINT(80.191047 13.09722)
33,assault_robbery,13.047694,80.218356,-100,POINT(80.218356 13.047694)
34,store_24h,12.903594,80.187891,30,POINT(80.187891 12.903594)
35,street_light,12.992478,80.257586,20,POINT(80.257586 12.992478)
36,transit_stop,13.140593,80.203135,10,POINT(80.203135 13.140593)
37,dark_alley,13.05151,80.199596,-20,POINT(80.199596 13.05151)
38,hotspot,13.04341,80.203555,-60,POINT(80.203555 13.04341)
39,theft_burglary,13.045451,80.273079,-40,POINT(80.273079 13.045451)
40,street_light,13.026418,80.226119,20,POINT(80.226119 13.026418)
41,store_24h,12.973286,80.245293,30,POINT(80.245293 12.973286)
42,street_light,12.929472,80.230896,20,POINT(80.230896 12.929472)
43,transit_stop,13.098872,80.18067,10,POINT(80.18067 13.098872)
