latitude,longitude,category,name,safety_score,description
10.971926,76.943179,police_station,Police Station 1,9,Nearby police presence improves safety.
11.000863,76.972841,police_station,Police Station 2,6,Nearby police presence improves safety.
10.97827,76.907975,school_zone,School Zone 3,6,Frequent pedestrian movement; safer during day.
10.95682,76.954554,traffic_risk,Accident Prone Area 4,2,High accident probability due to traffic conditions.
11.041291,76.934575,isolated_area,Isolated Stretch 5,3,Low foot traffic; avoid during late hours.
11.076726,76.924572,police_station,Police Station 6,8,Nearby police presence improves safety.
11.051995,76.912338,crime_hotspot,Reported Incident Zone 7,4,Area with past reported theft or incidents; caution advised.
11.085011,77.004298,hospital,Hospital 8,7,Emergency medical services available nearby.
11.092513,77.046881,well_lit_area,Well Lit Street 9,8,Street has good lighting; relatively safer at night.
11.038824,76.921262,school_zone,School Zone 10,7,Frequent pedestrian movement; safer during day.
11.001716,76.900691,school_zone,School Zone 11,7,Frequent pedestrian movement; safer during day.
11.091162,76.893186,well_lit_area,Well Lit Street 12,8,Street has good lighting; relatively safer at night.
10.950949,76.952575,isolated_area,Isolated Stretch 13,2,Low foot traffic; avoid during late hours.
11.036983,77.034705,school_zone,School Zone 14,10,Frequent pedestrian movement; safer during day.
10.988588,76.886267,busy_market,Market Area 15,6,Crowded area; safe but watch for pickpocketing.
11.098763,76.854502,police_station,Police Station 16,10,Nearby police presence improves safety.
10.952145,76.978092,crime_hotspot,Reported Incident Zone 17,2,Area with past reported theft or incidents; caution advised.
10.97203,76.873192,well_lit_area,Well Lit Street 18,9,Street has good lighting; relatively safer at night.
10.952206,76.994583,school_zone,School Zone 19,9,Frequent pedestrian movement; safer during day.
11.074847,76.892704,hospital,Hospital 20,8,Emergency medical services available nearby.
11.02741,77.039595,police_station,Police Station 21,10,Nearby police presence improves safety.
10.989508,76.990957,hospital,Hospital 22,6,Emergency medical services available nearby.
10.987394,76.879344,busy_market,Market Area 23,5,Crowded area; safe but watch for pickpocketing.
11.046373,76.858672,community_watch,Community Watch Point 24,9,Active local community monitoring area.
10.969225,76.866894,night_patrol_point,Night Patrol Point 25,9,Regular police patrol during night.
10.975249,76.978675,well_lit_area,Well Lit Street 26,10,Street has good lighting; relatively safer at night.
11.008823,77.039996,night_patrol_point,Night Patrol Point 27,6,Regular police patrol during night.
11.028231,76.882083,crime_hotspot,Reported Incident Zone 28,4,Area with past reported theft or incidents; caution advised.
10.991775,77.020893,police_station,Police Station 29,9,Nearby police presence improves safety.
11.089138,76.875976,crime_hotspot,Reported Incident Zone 30,2,Area with past reported theft or incidents; caution advised.
10.998472,76.878792,police_station,Police Station 31,6,Nearby police presence improves safety.
11.077828,76.856383,school_zone,School Zone 32,9,Frequent pedestrian movement; safer during day.
